🚀 АНАЛИЗ ЛИМИТОВ EXMO
==================================================
🔍 Получаем настройки всех пар...
📊 Найдено пар: 240
================================================================================
🇪🇺 EUR ПАРЫ:
   ✅ XRP_EUR      | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.3%
      ✅ TRX_EUR      | Мин:   0.01 | Комиссия: 0.3% | Приоритет: 5
      ✅ USDC_EUR     | Мин:   0.10 | Комиссия: 0.3% | Приоритет: 5
      ✅ ATOM_EUR     | Мин:   0.50 | Комиссия: 0.3% | Приоритет: 5
      ✅ BTC_USDT     | Мин:   1.00 | Комиссия: 0.2% | Приоритет: 5

   🎯 КОНКРЕТНЫЕ РЕКОМЕНДАЦИИ:
      1. Начать с текущей стратегии DOGE_EUR
      2. Добавить мониторинг других доступных DOGE пар
      3. Рассмотреть ETH или BTC пары для диверсификации
      4. Избегать цепочек с комиссией >2%
      5. Тестировать арбитраж только при разнице >1%
==================================================
✅ Анализ завершен!
